Nx = 31
Nt = 750
n/j; 0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 
27(1.08); 25.7871; 25.7871; 25.614; 25.2763; 24.7895; 24.1738; 23.452; 22.6468; 21.7786; 20.865; 19.92; 18.9539; 17.9744; 16.9867; 15.9944; 15; 14.0056; 13.0133; 12.0256; 11.0461; 10.08; 9.13496; 8.22139; 7.35324; 6.54799; 5.82622; 5.21054; 4.72366; 4.38597; 4.21294; 4.21294; 
28(1.12); 25.7191; 25.7191; 25.5492; 25.2174; 24.7383; 24.1314; 23.4183; 22.6211; 21.7599; 20.8519; 19.9111; 18.9482; 17.9708; 16.9847; 15.9935; 15; 14.0065; 13.0153; 12.0292; 11.0518; 10.0889; 9.14808; 8.24009; 7.37886; 6.58166; 5.86864; 5.26168; 4.78258; 4.45075; 4.28088; 4.28088; 
29(1.16); 25.6524; 25.6524; 25.4855; 25.1592; 24.6876; 24.089; 23.3844; 22.5951; 21.7407; 20.8383; 19.9018; 18.942; 17.967; 16.9825; 15.9925; 15; 14.0075; 13.0175; 12.033; 11.058; 10.0982; 9.16171; 8.2593; 7.40489; 6.61557; 5.91103; 5.31244; 4.84075; 4.5145; 4.34763; 4.34763; 
30(1.2); 25.5868; 25.5868; 25.4227; 25.1018; 24.6372; 24.0467; 23.3503; 22.5687; 21.721; 20.8242; 19.8921; 18.9356; 17.9629; 16.9801; 15.9914; 15; 14.0086; 13.0199; 12.0371; 11.0644; 10.1079; 9.17582; 8.27897; 7.43131; 6.64969; 5.95335; 5.36281; 4.89821; 4.57727; 4.41324; 4.41324; 
31(1.24); 25.5222; 25.5222; 25.3609; 25.045; 24.5872; 24.0044; 23.316; 22.5419; 21.7009; 20.8096; 19.8819; 18.9288; 17.9586; 16.9776; 15.9902; 15; 14.0098; 13.0224; 12.0414; 11.0712; 10.1181; 9.19039; 8.29909; 7.45807; 6.68397; 5.99559; 5.4128; 4.95499; 4.6391; 4.47777; 4.47777; 
32(1.28); 25.4587; 25.4587; 25.3; 24.9889; 24.5376; 23.9623; 23.2816; 22.5148; 21.6804; 20.7946; 19.8713; 18.9216; 17.954; 16.9749; 15.989; 15; 14.011; 13.0251; 12.046; 11.0784; 10.1287; 9.20539; 8.31961; 7.48516; 6.7184; 6.03773; 5.4624; 5.01109; 4.70002; 4.54127; 4.54127; 
33(1.32); 25.3962; 25.3962; 25.2399; 24.9335; 24.4884; 23.9202; 23.247; 22.4875; 21.6595; 20.7792; 19.8604; 18.9141; 17.9491; 16.972; 15.9877; 15; 14.0123; 13.028; 12.0509; 11.0859; 10.1396; 9.22081; 8.34053; 7.51253; 6.75295; 6.07975; 5.51162; 5.06654; 4.76009; 4.60379; 4.60379; 
34(1.36); 25.3346; 25.3346; 25.1807; 24.8786; 24.4395; 23.8783; 23.2124; 22.4598; 21.6382; 20.7634; 19.849; 18.9063; 17.944; 16.9689; 15.9862; 15; 14.0138; 13.0311; 12.056; 11.0937; 10.151; 9.23662; 8.3618; 7.54016; 6.7876; 6.12166; 5.56046; 5.12136; 4.81932; 4.66537; 4.66537; 
35(1.4); 25.2739; 25.2739; 25.1222; 24.8244; 24.3911; 23.8366; 23.1777; 22.432; 21.6166; 20.7472; 19.8373; 18.8982; 17.9387; 16.9657; 15.9847; 15; 14.0153; 13.0343; 12.0613; 11.1018; 10.1627; 9.25281; 8.38341; 7.56803; 6.82232; 6.16342; 5.60892; 5.17558; 4.87776; 4.72605; 4.72605; 
36(1.44); 25.2141; 25.2141; 25.0646; 24.7708; 24.343; 23.795; 23.1429; 22.4039; 21.5947; 20.7306; 19.8252; 18.8897; 17.933; 16.9623; 15.9832; 15; 14.0168; 13.0377; 12.067; 11.1103; 10.1748; 9.26936; 8.40533; 7.59611; 6.8571; 6.20503; 5.65701; 5.2292; 4.93544; 4.78588; 4.78588; 
37(1.48); 25.1551; 25.1551; 25.0076; 24.7178; 24.2953; 23.7535; 23.1081; 22.3756; 21.5725; 20.7138; 19.8129; 18.881; 17.9272; 16.9588; 15.9815; 15; 14.0185; 13.0412; 12.0728; 11.119; 10.1871; 9.28624; 8.42755; 7.62439; 6.89192; 6.24649; 5.70472; 5.28224; 4.99238; 4.84488; 4.84488; 
38(1.52); 25.0969; 25.0969; 24.9514; 24.6653; 24.2479; 23.7122; 23.0732; 22.3472; 21.55; 20.6966; 19.8001; 18.8719; 17.9211; 16.9551; 15.9797; 15; 14.0203; 13.0449; 12.0789; 11.1281; 10.1999; 9.30345; 8.45003; 7.65284; 6.92676; 6.28779; 5.75208; 5.33473; 5.04862; 4.90309; 4.90309; 
39(1.56); 25.0395; 25.0395; 24.8958; 24.6133; 24.2009; 23.6711; 23.0384; 22.3186; 21.5272; 20.679; 19.7871; 18.8626; 17.9148; 16.9512; 15.9779; 15; 14.0221; 13.0488; 12.0852; 11.1374; 10.2129; 9.32095; 8.47277; 7.68144; 6.96162; 6.32893; 5.79907; 5.38668; 5.10417; 4.96054; 4.96054; 
40(1.6); 24.9827; 24.9827; 24.8409; 24.5619; 24.1543; 23.6301; 23.0035; 22.2898; 21.5043; 20.6613; 19.7738; 18.853; 17.9082; 16.9471; 15.976; 15; 14.024; 13.0529; 12.0918; 11.147; 10.2262; 9.33874; 8.49575; 7.71018; 6.99647; 6.36989; 5.8457; 5.43811; 5.15907; 5.01726; 5.01726; 
41(1.64); 24.9267; 24.9267; 24.7867; 24.511; 24.108; 23.5893; 22.9687; 22.261; 21.4811; 20.6432; 19.7602; 18.8432; 17.9015; 16.943; 15.974; 15; 14.026; 13.057; 12.0985; 11.1568; 10.2398; 9.3568; 8.51894; 7.73904; 7.03131; 6.41067; 5.89199; 5.48902; 5.21333; 5.07328; 5.07328; 
42(1.68); 24.8714; 24.8714; 24.733; 24.4606; 24.0621; 23.5487; 22.9339; 22.232; 21.4577; 20.6249; 19.7463; 18.833; 17.8945; 16.9386; 15.9719; 15; 14.0281; 13.0614; 12.1055; 11.167; 10.2537; 9.37512; 8.54233; 7.76801; 7.06612; 6.45127; 5.93793; 5.53943; 5.26697; 5.12862; 5.12862; 
43(1.72); 24.8167; 24.8167; 24.68; 24.4106; 24.0165; 23.5083; 22.8991; 22.2029; 21.4341; 20.6063; 19.7322; 18.8227; 17.8874; 16.9342; 15.9698; 15; 14.0302; 13.0658; 12.1126; 11.1773; 10.2678; 9.39367; 8.5659; 7.79708; 7.1009; 6.49169; 5.98353; 5.58936; 5.32002; 5.18331; 5.18331; 
