0; 0.5; 1; 1.5; 2; 2.5; 3; 3.5; 4; 4.5; 5; 5.5; 6; 6.5; 7; 7.5; 8; 8.5; 9; 9.5; 10; 10.5; 11; 11.5; 12; 12.5; 13; 13.5; 14; 14.5; 15; 15.5; 16; 16.5; 17; 17.5; 18; 18.5; 19; 19.5; 20; 20.5; 21; 21.5; 22; 22.5; 23; 23.5; 24; 
5.73695; 5.73695; 5.76603; 5.82402; 5.91057; 6.02517; 6.16714; 6.33565; 6.52976; 6.74836; 6.99027; 7.25418; 7.53871; 7.84242; 8.1638; 8.50131; 8.85336; 9.21837; 9.59471; 9.98077; 10.3749; 10.7755; 11.181; 11.5897; 12; 12.4103; 12.819; 13.2245; 13.6251; 14.0192; 14.4053; 14.7816; 15.1466; 15.4987; 15.8362; 16.1576; 16.4613; 16.7458; 17.0097; 17.2516; 17.4702; 17.6643; 17.8329; 17.9748; 18.0894; 18.176; 18.234; 18.2631; 18.2631; 
5.86614; 5.86614; 5.89448; 5.95098; 6.03532; 6.14702; 6.28544; 6.44981; 6.63921; 6.85261; 7.08887; 7.34675; 7.62493; 7.92202; 8.23656; 8.56707; 8.91199; 9.26977; 9.63883; 10.0176; 10.4044; 10.7976; 11.1957; 11.5971; 12; 12.4029; 12.8043; 13.2024; 13.5956; 13.9824; 14.3612; 14.7302; 15.088; 15.4329; 15.7634; 16.078; 16.3751; 16.6533; 16.9111; 17.1474; 17.3608; 17.5502; 17.7146; 17.853; 17.9647; 18.049; 18.1055; 18.1339; 18.1339; 
5.99211; 5.99211; 6.01973; 6.07483; 6.15708; 6.26604; 6.40109; 6.56151; 6.74643; 6.95486; 7.18571; 7.43781; 7.70987; 8.00055; 8.30847; 8.63215; 8.9701; 9.32079; 9.68267; 10.0542; 10.4337; 10.8196; 11.2104; 11.6044; 12; 12.3956; 12.7896; 13.1804; 13.5663; 13.9458; 14.3173; 14.6792; 15.0299; 15.3679; 15.6915; 15.9994; 16.2901; 16.5622; 16.8143; 17.0451; 17.2536; 17.4385; 17.5989; 17.734; 17.8429; 17.9252; 17.9803; 18.0079; 18.0079; 
6.11501; 6.11501; 6.14197; 6.19572; 6.27599; 6.38234; 6.51419; 6.67085; 6.85148; 7.05515; 7.28081; 7.52733; 7.79348; 8.07797; 8.37943; 8.69646; 9.02758; 9.37132; 9.72614; 10.0905; 10.4628; 10.8415; 11.225; 11.6117; 12; 12.3883; 12.775; 13.1585; 13.5372; 13.9095; 14.2739; 14.6287; 14.9724; 15.3035; 15.6206; 15.922; 16.2065; 16.4727; 16.7192; 16.9449; 17.1485; 17.3292; 17.4858; 17.6177; 17.724; 17.8043; 17.858; 17.885; 17.885; 
6.235; 6.235; 6.26131; 6.3138; 6.39218; 6.49604; 6.62483; 6.77788; 6.95441; 7.1535; 7.37417; 7.61531; 7.87574; 8.15421; 8.4494; 8.75993; 9.08439; 9.4213; 9.76917; 10.1265; 10.4917; 10.8632; 11.2395; 11.6189; 12; 12.3811; 12.7605; 13.1368; 13.5083; 13.8735; 14.2308; 14.5787; 14.9156; 15.2401; 15.5506; 15.8458; 16.1243; 16.3847; 16.6258; 16.8465; 17.0456; 17.2221; 17.3752; 17.504; 17.6078; 17.6862; 17.7387; 17.765; 17.765; 
6.3522; 6.3522; 6.3779; 6.42917; 6.50574; 6.60722; 6.73308; 6.88267; 7.05525; 7.24995; 7.46579; 7.70173; 7.95662; 8.22924; 8.51832; 8.82252; 9.14044; 9.47066; 9.8117; 10.1621; 10.5202; 10.8847; 11.2538; 11.6261; 12; 12.3739; 12.7462; 13.1153; 13.4798; 13.8379; 14.1883; 14.5293; 14.8596; 15.1775; 15.4817; 15.7708; 16.0434; 16.2983; 16.5342; 16.7501; 16.9447; 17.1173; 17.2669; 17.3928; 17.4943; 17.5708; 17.6221; 17.6478; 17.6478; 
6.46673; 6.46673; 6.49185; 6.54195; 6.61679; 6.71598; 6.83902; 6.98529; 7.15407; 7.34451; 7.5557; 7.78659; 8.03611; 8.30305; 8.58617; 8.88418; 9.19571; 9.51936; 9.85369; 10.1972; 10.5485; 10.9059; 11.268; 11.6332; 12; 12.3668; 12.732; 13.0941; 13.4515; 13.8028; 14.1463; 14.4806; 14.8043; 15.1158; 15.4138; 15.697; 15.9639; 16.2134; 16.4443; 16.6555; 16.8459; 17.0147; 17.161; 17.284; 17.3832; 17.458; 17.5082; 17.5333; 17.5333; 
6.5787; 6.5787; 6.60325; 6.65224; 6.72541; 6.82239; 6.94272; 7.08579; 7.25089; 7.43723; 7.6439; 7.86991; 8.1142; 8.3756; 8.65293; 8.94488; 9.25016; 9.56737; 9.8951; 10.2319; 10.5764; 10.9269; 11.282; 11.6402; 12; 12.3598; 12.718; 13.0731; 13.4236; 13.7681; 14.1049; 14.4326; 14.7498; 15.0551; 15.3471; 15.6244; 15.8858; 16.1301; 16.3561; 16.5628; 16.7491; 16.9142; 17.0573; 17.1776; 17.2746; 17.3478; 17.3967; 17.4213; 17.4213; 
6.68819; 6.68819; 6.7122; 6.76011; 6.83167; 6.92654; 7.04424; 7.18421; 7.34577; 7.52813; 7.73042; 7.95169; 8.19089; 8.4469; 8.71856; 9.00461; 9.30375; 9.61465; 9.93591; 10.2661; 10.6038; 10.9476; 11.2959; 11.6472; 12; 12.3528; 12.7041; 13.0524; 13.3962; 13.7339; 14.0641; 14.3854; 14.6963; 14.9954; 15.2814; 15.5531; 15.8091; 16.0483; 16.2696; 16.4719; 16.6542; 16.8158; 16.9558; 17.0735; 17.1683; 17.2399; 17.2878; 17.3118; 17.3118; 
6.7953; 6.7953; 6.81879; 6.86566; 6.93567; 7.02848; 7.14365; 7.28062; 7.43873; 7.61724; 7.81528; 8.03193; 8.26618; 8.51694; 8.78306; 9.06333; 9.35647; 9.66118; 9.97609; 10.2998; 10.6309; 10.968; 11.3095; 11.654; 12; 12.346; 12.6905; 13.032; 13.3691; 13.7002; 14.0239; 14.3388; 14.6435; 14.9367; 15.2169; 15.4831; 15.7338; 15.9681; 16.1847; 16.3828; 16.5613; 16.7194; 16.8563; 16.9715; 17.0643; 17.1343; 17.1812; 17.2047; 17.2047; 
