0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 21; 22; 23; 24; 
2.79337; 2.79337; 3.0699; 3.59012; 4.29988; 5.14012; 6.06016; 7.02373; 8.00861; 9.00288; 10.0009; 11.0002; 12; 12.9998; 13.9991; 14.9971; 15.9914; 16.9763; 17.9398; 18.8599; 19.7001; 20.4099; 20.9301; 21.2066; 21.2066; 
2.80913; 2.80913; 3.08379; 3.60093; 4.30732; 5.14467; 6.06264; 7.02495; 8.00915; 9.00309; 10.001; 11.0003; 12; 12.9997; 13.999; 14.9969; 15.9909; 16.9751; 17.9374; 18.8553; 19.6927; 20.3991; 20.9162; 21.1909; 21.1909; 
2.82478; 2.82478; 3.09761; 3.61171; 4.31479; 5.14927; 6.06517; 7.02619; 8.0097; 9.00332; 10.001; 11.0003; 12; 12.9997; 13.999; 14.9967; 15.9903; 16.9738; 17.9348; 18.8507; 19.6852; 20.3883; 20.9024; 21.1752; 21.1752; 
2.84033; 2.84033; 3.11136; 3.62248; 4.32228; 5.15391; 6.06774; 7.02748; 8.01028; 9.00355; 10.0011; 11.0003; 12; 12.9997; 13.9989; 14.9965; 15.9897; 16.9725; 17.9323; 18.8461; 19.6777; 20.3775; 20.8886; 21.1597; 21.1597; 
2.85578; 2.85578; 3.12505; 3.63324; 4.32979; 5.15859; 6.07035; 7.02879; 8.01088; 9.0038; 10.0012; 11.0003; 12; 12.9997; 13.9988; 14.9962; 15.9891; 16.9712; 17.9296; 18.8414; 19.6702; 20.3668; 20.875; 21.1442; 21.1442; 
2.87113; 2.87113; 3.13867; 3.64397; 4.33733; 5.16332; 6.07301; 7.03014; 8.01149; 9.00405; 10.0013; 11.0004; 12; 12.9996; 13.9987; 14.9959; 15.9885; 16.9699; 17.927; 18.8367; 19.6627; 20.356; 20.8613; 21.1289; 21.1289; 
2.88638; 2.88638; 3.15222; 3.65469; 4.34489; 5.16809; 6.07572; 7.03152; 8.01213; 9.00432; 10.0014; 11.0004; 12; 12.9996; 13.9986; 14.9957; 15.9879; 16.9685; 17.9243; 18.8319; 19.6551; 20.3453; 20.8478; 21.1136; 21.1136; 
2.90153; 2.90153; 3.16571; 3.66539; 4.35247; 5.1729; 6.07846; 7.03293; 8.01279; 9.0046; 10.0015; 11.0004; 12; 12.9996; 13.9985; 14.9954; 15.9872; 16.9671; 17.9215; 18.8271; 19.6475; 20.3346; 20.8343; 21.0985; 21.0985; 
2.91659; 2.91659; 3.17913; 3.67607; 4.36007; 5.17776; 6.08125; 7.03438; 8.01347; 9.00489; 10.0016; 11.0005; 12; 12.9995; 13.9984; 14.9951; 15.9865; 16.9656; 17.9187; 18.8222; 19.6399; 20.3239; 20.8209; 21.0834; 21.0834; 
2.93156; 2.93156; 3.19249; 3.68674; 4.36769; 5.18265; 6.08408; 7.03586; 8.01418; 9.0052; 10.0018; 11.0005; 12; 12.9995; 13.9982; 14.9948; 15.9858; 16.9641; 17.9159; 18.8174; 19.6323; 20.3133; 20.8075; 21.0684; 21.0684; 
2.94643; 2.94643; 3.20579; 3.69738; 4.37533; 5.18758; 6.08695; 7.03737; 8.0149; 9.00551; 10.0019; 11.0006; 12; 12.9994; 13.9981; 14.9945; 15.9851; 16.9626; 17.913; 18.8124; 19.6247; 20.3026; 20.7942; 21.0536; 21.0536; 
2.96121; 2.96121; 3.21903; 3.708; 4.38299; 5.19254; 6.08986; 7.03892; 8.01565; 9.00584; 10.002; 11.0006; 12; 12.9994; 13.998; 14.9942; 15.9844; 16.9611; 17.9101; 18.8075; 19.617; 20.292; 20.781; 21.0388; 21.0388; 
2.97591; 2.97591; 3.2322; 3.7186; 4.39066; 5.19755; 6.09281; 7.0405; 8.01641; 9.00618; 10.0022; 11.0006; 12; 12.9994; 13.9978; 14.9938; 15.9836; 16.9595; 17.9072; 18.8025; 19.6093; 20.2814; 20.7678; 21.0241; 21.0241; 
2.99052; 2.99052; 3.24532; 3.72919; 4.39834; 5.20258; 6.0958; 7.0421; 8.0172; 9.00653; 10.0023; 11.0007; 12; 12.9993; 13.9977; 14.9935; 15.9828; 16.9579; 17.9042; 18.7974; 19.6017; 20.2708; 20.7547; 21.0095; 21.0095; 
3.00504; 3.00504; 3.25838; 3.73975; 4.40604; 5.20765; 6.09882; 7.04375; 8.01801; 9.0069; 10.0024; 11.0007; 12; 12.9993; 13.9976; 14.9931; 15.982; 16.9563; 17.9012; 18.7923; 19.594; 20.2603; 20.7416; 20.995; 20.995; 
3.01948; 3.01948; 3.27137; 3.75029; 4.41375; 5.21276; 6.10189; 7.04542; 8.01885; 9.00728; 10.0026; 11.0008; 12; 12.9992; 13.9974; 14.9927; 15.9812; 16.9546; 17.8981; 18.7872; 19.5862; 20.2497; 20.7286; 20.9805; 20.9805; 
3.03384; 3.03384; 3.28431; 3.76081; 4.42148; 5.2179; 6.10499; 7.04712; 8.0197; 9.00767; 10.0028; 11.0009; 12; 12.9991; 13.9972; 14.9923; 15.9803; 16.9529; 17.895; 18.7821; 19.5785; 20.2392; 20.7157; 20.9662; 20.9662; 
3.04812; 3.04812; 3.2972; 3.77131; 4.42922; 5.22307; 6.10813; 7.04886; 8.02058; 9.00808; 10.0029; 11.0009; 12; 12.9991; 13.9971; 14.9919; 15.9794; 16.9511; 17.8919; 18.7769; 19.5708; 20.2287; 20.7028; 20.9519; 20.9519; 
