Nx = 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nt = 100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n/j;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30; 
37(0,37);27,3145;27,3145;27,0252;26,4839;25,7511;24,891;23,9568;22,9845;21,995;20,9985;19,9996;18,9999;18;17;16;15;14;13;12;11,0001;10,0004;9,00148;8,00504;7,01553;6,04323;5,10898;4,24888;3,51606;2,97477;2,68551;2,68551; 
38(0,38);27,2856;27,2856;27;26,4648;25,7384;24,8836;23,953;22,9828;21,9943;20,9983;19,9995;18,9999;18;17;16;15;14;13;12;11,0001;10,0005;9,00173;8,00574;7,01725;6,04704;5,11639;4,26161;3,53521;2,99997;2,71443;2,71443; 
39(0,39);27,257;27,257;26,9751;26,4457;25,7256;24,876;23,949;22,9809;21,9935;20,998;19,9994;18,9999;18;17;16;15;14;13;12;11,0001;10,0006;9,00201;8,00649;7,01908;6,05099;5,12398;4,27445;3,55433;3,02494;2,74299;2,74299; 
40(0,4);27,2288;27,2288;26,9503;26,4266;25,7126;24,8683;23,9449;22,979;21,9927;20,9977;19,9993;18,9998;18;17;16;15;14;13;12;11,0002;10,0007;9,00231;8,0073;7,02101;6,0551;5,13173;4,28739;3,5734;3,04969;2,77118;2,77118; 
41(0,41);27,201;27,201;26,9258;26,4076;25,6996;24,8604;23,9406;22,977;21,9918;20,9974;19,9992;18,9998;17,9999;17;16;15;14;13;12,0001;11,0002;10,0008;9,00264;8,00817;7,02305;6,05935;5,13963;4,30042;3,59243;3,07421;2,79903;2,79903; 
42(0,42);27,1734;27,1734;26,9015;26,3886;25,6865;24,8523;23,9362;22,9748;21,9909;20,997;19,9991;18,9997;17,9999;17;16;15;14;13;12,0001;11,0003;10,0009;9,00301;8,00911;7,02519;6,06375;5,14768;4,31355;3,61141;3,09851;2,82655;2,82655; 
43(0,43);27,1463;27,1463;26,8774;26,3697;25,6733;24,8441;23,9317;22,9726;21,9899;20,9966;19,9989;18,9997;17,9999;17;16;15;14;13;12,0001;11,0003;10,0011;9,00341;8,0101;7,02744;6,06829;5,15588;4,32675;3,63033;3,12261;2,85375;2,85375; 
44(0,44);27,1194;27,1194;26,8535;26,3508;25,66;24,8358;23,927;22,9702;21,9888;20,9962;19,9988;18,9996;17,9999;17;16;15;14;13;12,0001;11,0004;10,0012;9,00384;8,01117;7,02979;6,07296;5,1642;4,34002;3,6492;3,14649;2,88063;2,88063; 
45(0,45);27,0928;27,0928;26,8298;26,332;25,6466;24,8273;23,9222;22,9678;21,9877;20,9957;19,9986;18,9996;17,9999;17;16;15;14;13;12,0001;11,0004;10,0014;9,00431;8,0123;7,03224;6,07777;5,17266;4,35335;3,66801;3,17018;2,90722;2,90722; 
46(0,46);27,0665;27,0665;26,8063;26,3132;25,6332;24,8188;23,9173;22,9652;21,9865;20,9952;19,9984;18,9995;17,9999;17;16;15;14;13;12,0001;11,0005;10,0016;9,00482;8,01349;7,0348;6,08271;5,18124;4,36675;3,68676;3,19366;2,93351;2,93351; 
47(0,47);27,0405;27,0405;26,783;26,2945;25,6198;24,8101;23,9122;22,9625;21,9852;20,9946;19,9982;18,9994;17,9998;17;16;15;14;13;12,0002;11,0006;10,0018;9,00536;8,01476;7,03746;6,08777;5,18994;4,3802;3,70545;3,21696;2,95953;2,95953; 
48(0,48);27,0147;27,0147;26,7599;26,2759;25,6063;24,8013;23,907;22,9598;21,9839;20,9941;19,998;18,9994;17,9998;16,9999;16;15;14;13,0001;12,0002;11,0006;10,002;9,00595;8,01609;7,04022;6,09296;5,19875;4,3937;3,72408;3,24007;2,98527;2,98527; 
49(0,49);26,9892;26,9892;26,737;26,2574;25,5928;24,7923;23,9017;22,9569;21,9825;20,9934;19,9977;18,9993;17,9998;16,9999;16;15;14;13,0001;12,0002;11,0007;10,0023;9,00657;8,01749;7,04308;6,09826;5,20766;4,40724;3,74264;3,26299;3,01075;3,01075; 
