Nx = 31
Nt = 3000
n/j; 0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 
36(1.8); 24.7458; 24.7458; 24.6138; 24.3496; 23.9674; 23.4669; 22.872; 22.1826; 21.4257; 20.6014; 19.7344; 18.8252; 17.8923; 16.9372; 15.972; 15; 14.028; 13.0628; 12.1077; 11.1748; 10.2656; 9.39856; 8.57433; 7.81744; 7.12801; 6.53307; 6.03264; 5.65036; 5.38624; 5.25418; 5.25418; 
37(1.85); 24.6798; 24.6798; 24.5477; 24.2906; 23.9083; 23.4197; 22.8247; 22.1488; 21.392; 20.5801; 19.7133; 18.8134; 17.8812; 16.9321; 15.9686; 15; 14.0314; 13.0679; 12.1188; 11.1866; 10.2867; 9.41994; 8.608; 7.85117; 7.17525; 6.58032; 6.09171; 5.70944; 5.45227; 5.32021; 5.32021; 
38(1.9); 24.6138; 24.6138; 24.4852; 24.228; 23.8551; 23.3665; 22.7843; 22.1084; 21.3644; 20.5527; 19.6967; 18.7972; 17.8728; 16.9249; 15.9661; 15; 14.0339; 13.0751; 12.1272; 11.2028; 10.3033; 9.44734; 8.63556; 7.89162; 7.21575; 6.63348; 6.14488; 5.77199; 5.51483; 5.38624; 5.38624; 
39(1.95); 24.5495; 24.5495; 24.4209; 24.1701; 23.7973; 23.3197; 22.7374; 22.0743; 21.3305; 20.5306; 19.675; 18.7847; 17.8611; 16.9194; 15.9624; 15; 14.0376; 13.0806; 12.1389; 11.2153; 10.325; 9.46942; 8.66948; 7.92565; 7.26255; 6.68032; 6.20274; 5.82985; 5.57912; 5.45053; 5.45053; 
40(2); 24.4852; 24.4852; 24.3598; 24.1091; 23.7449; 23.2674; 22.697; 22.034; 21.3025; 20.5027; 19.6577; 18.768; 17.8521; 16.9118; 15.9597; 15; 14.0403; 13.0882; 12.1479; 11.232; 10.3423; 9.49727; 8.69754; 7.96602; 7.30298; 6.73264; 6.25508; 5.89093; 5.64019; 5.51482; 5.51482; 
41(2.05); 24.4225; 24.4225; 24.2971; 24.0524; 23.6882; 23.221; 22.6507; 21.9997; 21.2684; 20.4801; 19.6354; 18.7549; 17.8399; 16.9059; 15.9559; 15; 14.0441; 13.0941; 12.1601; 11.2451; 10.3646; 9.51994; 8.73164; 8.00026; 7.34933; 6.77903; 6.31179; 5.94764; 5.70288; 5.57751; 5.57751; 
42(2.1); 24.3598; 24.3598; 24.2374; 23.9927; 23.6367; 23.1694; 22.6104; 21.9595; 21.2399; 20.4519; 19.6175; 18.7376; 17.8304; 16.8979; 15.9529; 15; 14.0471; 13.1021; 12.1696; 11.2624; 10.3825; 9.54814; 8.7601; 8.04049; 7.38965; 6.83056; 6.36334; 6.00733; 5.76257; 5.64019; 5.64019; 
43(2.15); 24.2986; 24.2986; 24.1762; 23.937; 23.5811; 23.1235; 22.5645; 21.9251; 21.2057; 20.4287; 19.5947; 18.7239; 17.8178; 16.8917; 15.9489; 15; 14.0511; 13.1083; 12.1822; 11.2761; 10.4053; 9.57132; 8.79431; 8.07487; 7.43552; 6.87649; 6.41894; 6.06296; 5.82376; 5.70138; 5.70138; 
44(2.2); 24.2374; 24.2374; 24.1178; 23.8786; 23.5303; 23.0728; 22.5243; 21.8851; 21.1769; 20.4002; 19.5763; 18.7062; 17.8078; 16.8833; 15.9458; 15; 14.0542; 13.1167; 12.1922; 11.2938; 10.4237; 9.59978; 8.8231; 8.11492; 7.47568; 6.92723; 6.46972; 6.12135; 5.88217; 5.76257; 5.76257; 
45(2.25); 24.1776; 24.1776; 24.058; 23.8241; 23.4757; 23.0273; 22.4789; 21.8506; 21.1427; 20.3766; 19.5532; 18.692; 17.7948; 16.8768; 15.9417; 15; 14.0583; 13.1232; 12.2052; 11.308; 10.4468; 9.6234; 8.85735; 8.14939; 7.52108; 6.9727; 6.52429; 6.17595; 5.94196; 5.82237; 5.82237; 
