;Nx = 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Nt = 750;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;n/j;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30; 
1,64;41(1,64);24,9549;24,9549;24,8156;24,5414;24,14;23,6227;23,0026;22,2944;21,5128;20,6721;19,7853;18,8638;17,9172;16,9535;15,9793;15;14,0207;13,0465;12,0828;11,1362;10,2147;9,32786;8,48717;7,70561;6,99739;6,37733;5,85997;5,45862;5,18436;5,04514;5,04514; 
1,68;42(1,68);24,8992;24,8992;24,7616;24,4905;24,0936;23,5816;22,9673;22,2651;21,4892;20,6537;19,7714;18,8538;17,9104;16,9493;15,9773;15;14,0227;13,0507;12,0896;11,1462;10,2286;9,34631;8,51082;7,73495;7,03265;6,41841;5,90638;5,50946;5,23838;5,10083;5,10083; 
1,72;43(1,72);24,8442;24,8442;24,7082;24,4402;24,0476;23,5407;22,9321;22,2356;21,4653;20,635;19,7573;18,8435;17,9033;16,9449;15,9752;15;14,0248;13,0551;12,0967;11,1565;10,2427;9,36501;8,53466;7,76438;7,06787;6,45929;5,95242;5,55979;5,29179;5,15585;5,15585; 
1,76;44(1,76);24,7898;24,7898;24,6554;24,3904;24,0019;23,5;22,897;22,2061;21,4413;20,616;19,7428;18,8329;17,896;16,9404;15,973;15;14,027;13,0596;12,104;11,1671;10,2572;9,38396;8,55869;7,79389;7,10304;6,49998;5,99812;5,60964;5,34461;5,21022;5,21022; 
1,8;45(1,8);24,736;24,736;24,6031;24,341;23,9565;23,4595;22,8618;22,1765;21,4171;20,5969;19,7282;18,8221;17,8885;16,9357;15,9707;15;14,0293;13,0643;12,1115;11,1779;10,2718;9,40313;8,58288;7,82347;7,13816;6,54046;6,04347;5,65902;5,39687;5,26398;5,26398; 
1,84;46(1,84);24,6829;24,6829;24,5514;24,2921;23,9115;23,4193;22,8268;22,1469;21,3928;20,5775;19,7132;18,8111;17,8808;16,9308;15,9684;15;14,0316;13,0692;12,1192;11,1889;10,2868;9,42251;8,60722;7,85311;7,1732;6,58074;6,08849;5,70794;5,44857;5,31714;5,31714; 
1,88;47(1,88);24,6303;24,6303;24,5003;24,2436;23,8668;23,3792;22,7918;22,1172;21,3683;20,5579;19,6981;18,7998;17,8729;16,9259;15,966;15;14,034;13,0741;12,1271;11,2002;10,3019;9,4421;8,63169;7,88279;7,20818;6,62083;6,13317;5,75641;5,49975;5,36971;5,36971; 
1,92;48(1,92);24,5783;24,5783;24,4496;24,1956;23,8225;23,3393;22,7569;22,0875;21,3437;20,5381;19,6827;18,7884;17,8649;16,9208;15,9636;15;14,0364;13,0792;12,1351;11,2116;10,3173;9,46186;8,65629;7,91251;7,24308;6,66071;6,17753;5,80445;5,5504;5,42173;5,42173; 
1,96;49(1,96);24,5268;24,5268;24,3995;24,1479;23,7784;23,2996;22,7221;22,0577;21,319;20,5182;19,6672;18,7767;17,8566;16,9155;15,961;15;14,039;13,0845;12,1434;11,2233;10,3328;9,4818;8,68101;7,94225;7,2779;6,70039;6,22157;5,85206;5,60055;5,47319;5,47319; 
2;50(2);24,4759;24,4759;24,3498;24,1007;23,7347;23,2601;22,6874;22,028;21,2942;20,4981;19,6514;18,7649;17,8482;16,9102;15,9584;15;14,0416;13,0898;12,1518;11,2351;10,3486;9,5019;8,70582;7,97201;7,31263;6,73986;6,26529;5,89926;5,65021;5,52414;5,52414; 
2,04;51(2,04);24,4254;24,4254;24,3006;24,0539;23,6913;23,2209;22,6527;21,9982;21,2693;20,4778;19,6355;18,7528;17,8397;16,9047;15,9557;15;14,0443;13,0953;12,1603;11,2472;10,3645;9,52215;8,73073;8,00179;7,34728;6,77914;6,30871;5,94605;5,6994;5,57457;5,57457; 
